Model,Accuracy,F1 (Denied),F1 (Approved),F1 Macro,ROC-AUC
LogisticRegression,0.7880221377840826,0.5007280276816609,0.8654472806268911,0.6830876541542761,0.8270154823345648
RandomForest,0.958467561376642,0.8727549006899135,0.9751838144930793,0.9239693575914965,0.9929394792321878
XGBoost,0.9632063352894096,0.876697545451681,0.9783769969816482,0.9275372712166645,0.993174553544264
