model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std
LogisticRegression,0.7880355290723127,0.0003805303411226547,0.6830334325453868,0.0002911683892939882,0.8277109785352701,0.0005985586532559267,0.6634123001773213,0.00022851541819849327,0.7546431013860566,0.000382993320840033
RandomForest,0.9579733267516989,0.0008957323892139582,0.9234834329562258,0.0011613073139625709,0.9930305390793116,0.00011202212297053763,0.8975875827872452,0.0030701838116488334,0.9560911306644531,0.002467021941253367
XGBoost,0.9632315824423152,0.00017336202029343014,0.9275743478840367,0.0003276992882336751,0.9932266983751792,5.775491493052344e-05,0.9302388612267627,0.0005363871265103307,0.9249616247389527,0.0004583347024987731
